,piece,moves,last_square,captured,captures,move_nums,game_id,mean_elo,Checkmate,Termination
50,♟-c7,[],50,False,[],[],fl7asfa0,1520.5,False,Normal
49,♟-b7,[],49,True,[],[],fl7asfa0,1520.5,False,Normal
48,♟-a7,[],48,False,[],[],fl7asfa0,1520.5,False,Normal
15,♙-h2,[23],23,True,[],[30],fl7asfa0,1520.5,False,Normal
14,♙-g2,[],14,False,[],[],fl7asfa0,1520.5,False,Normal
13,♙-f2,[],13,False,[],[],fl7asfa0,1520.5,False,Normal
12,♙-e2,[28],28,False,[],[0],fl7asfa0,1520.5,False,Normal
11,♙-d2,[19],19,False,[],[6],fl7asfa0,1520.5,False,Normal
10,♙-c2,[18],18,False,[],[8],fl7asfa0,1520.5,False,Normal
9,♙-b2,[],9,True,[],[],fl7asfa0,1520.5,False,Normal
8,♙-a2,[],8,False,[],[],fl7asfa0,1520.5,False,Normal
7,♖-h1,[5],5,False,[],[],fl7asfa0,1520.5,False,Normal
6,♘-g1,"[21, 11, 21, 38]",38,False,"['♜-a8', '♟-g7']","[2, 24, 34, 36]",fl7asfa0,1520.5,False,Normal
5,♗-f1,"[26, 17]",17,True,[],"[4, 14]",fl7asfa0,1520.5,False,Normal
4,♔-e1,[6],6,False,[],[10],fl7asfa0,1520.5,False,Normal
3,♕-d1,"[17, 49, 40]",40,False,"['♞-b8', '♟-b7']","[16, 18, 20]",fl7asfa0,1520.5,False,Normal
2,♗-c1,"[38, 31, 22, 15]",15,False,[],"[12, 26, 28, 32]",fl7asfa0,1520.5,False,Normal
1,♘-b1,[11],11,True,[],[22],fl7asfa0,1520.5,False,Normal
0,♖-a1,[],0,False,[],[],fl7asfa0,1520.5,False,Normal
63,♜-h8,[],63,True,[],[],7b44wxzu,1758.5,False,Normal
62,♞-g8,"[52, 62]",62,False,[],"[17, 47]",7b44wxzu,1758.5,False,Normal
61,♝-f8,"[34, 27, 48]",48,True,[],"[3, 19, 27]",7b44wxzu,1758.5,False,Normal
60,♚-e8,[52],52,False,['♖-a1'],[53],7b44wxzu,1758.5,False,Normal
59,♛-d8,"[45, 46, 47]",47,False,[],"[13, 31, 49]",7b44wxzu,1758.5,False,Normal
58,♝-c8,"[30, 21]",21,True,['♘-g1'],"[9, 11]",7b44wxzu,1758.5,False,Normal
57,♞-b8,"[51, 45, 35, 52]",52,True,['♙-e2'],"[15, 35, 43, 51]",7b44wxzu,1758.5,False,Normal
56,♜-a8,"[48, 56, 57, 59]",59,False,['♗-c1'],"[29, 37, 39, 45]",7b44wxzu,1758.5,False,Normal
55,♟-h7,"[47, 39]",39,True,[],"[21, 33]",7b44wxzu,1758.5,False,Normal
54,♟-g7,[38],38,False,[],[23],7b44wxzu,1758.5,False,Normal
53,♟-f7,[],53,False,[],[],7b44wxzu,1758.5,False,Normal
52,♟-e7,[36],36,True,[],[1],7b44wxzu,1758.5,False,Normal
51,♟-d7,"[43, 35]",35,True,[],"[5, 41]",7b44wxzu,1758.5,False,Normal
50,♟-c7,[42],42,False,[],[25],7b44wxzu,1758.5,False,Normal
49,♟-b7,[],49,False,[],[],7b44wxzu,1758.5,False,Normal
48,♟-a7,[40],40,False,[],[7],7b44wxzu,1758.5,False,Normal
15,♙-h2,[23],23,False,[],[10],7b44wxzu,1758.5,False,Normal
